user_name,file_path,file_name
UserA,/,FileA
UserA,/1/,FileA1
UserA,/2/,FileA2
UserA,/1/2/,FileA12
UserA,/3/,FileA3
UserA,/2/6/,FileA26
UserA,/1/,FileA1ccaf
UserA,/1/,FileA1eac
UserA,/1/2/,FileA12bca
UserA,/1/3/,FileA13sd
UserA,/2/3/,FileA23dsa
UserA,/1/3/,FileA13ss
UserC,/1/,FileC1eac
UserC,/1/2/,FileC12bca
UserC,/1/3/,FileC13sd
UserC,/2/3/,FileC23dsa
UserC,/1/3/,FileC13ss
UserB,/1/,FileB1eac
UserB,/1/2/,FileB12bca
UserB,/1/3/,FileB13sd
UserB,/2/3/,FileB23dsa
UserB,/1/3/,FileB13ss
UserB,/1/,FileB1igie
UserB,/1/2/,FileC12bca
